condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,8,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,318,-1,10,149,9,0.0
basic,0,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,4298,3980,10,100,9,1.0
basic,0,8,0,0,0,25,"[0, 5, 25]",3,20,"[1, 2, 3, 4, 6, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",215.3091468,6127,1829,4,42,9,1.2272747879909065
basic,0,8,0,0,0,14,"[0, 5, 25, 14]",4,16,"[1, 3, 4, 6, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28]",170.2092576,8977,2850,1,13,9,1.5190857385933465
basic,0,8,0,0,0,17,"[0, 5, 25, 14, 17]",5,9,"[1, 4, 11, 15, 16, 18, 23, 24, 28]",133.1957466,9871,894,1,9,9,1.5271682935559303
basic,0,8,0,0,0,11,"[0, 5, 25, 14, 17, 11]",6,5,"[15, 16, 18, 24, 28]",108.01639,10495,624,1,6,9,1.4664212485560129
basic,0,8,0,0,0,24,"[0, 5, 25, 14, 17, 11, 24]",7,2,"[15, 16]",70.80080183,12185,1690,1,1,9,1.3920548417170795
basic,0,8,0,0,0,15,"[0, 5, 25, 14, 17, 11, 24, 15]",8,1,[16],54.03774722,13434,1249,1,0,9,1.4585932832823736
basic,0,8,0,0,1,16,"[0, 5, 25, 14, 17, 11, 24, 15, 16]",9,0,[],2.959376062,14838,1404,1,0,9,1.6043130175078746
basic,0,8,0,1,1,16,"[0, 5, 25, 14, 17, 11, 24, 15, 16]",9,0,[],2.959376062,17076,2238,1,0,9,1.6043130175078746
basic,1,27,0,0,0,0,[0],1,26,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,115,-1,13,578,11,0.0
basic,1,27,0,0,0,15,"[0, 15]",2,24,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29]",263.7508621,2808,2693,6,219,11,1.0
basic,1,27,0,0,0,24,"[0, 15, 24]",3,20,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25, 26, 27, 29]",246.5462115,3982,1174,6,130,11,1.130933077698322
basic,1,27,0,0,0,17,"[0, 15, 24, 17]",4,15,"[1, 6, 8, 10, 12, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",229.9932662,4845,863,4,60,11,1.1285538435963374
basic,1,27,0,0,0,12,"[0, 15, 24, 17, 12]",5,14,"[1, 6, 8, 10, 13, 14, 16, 18, 19, 23, 25, 26, 27, 29]",218.8129263,5460,615,2,32,11,1.2561880288755216
basic,1,27,0,0,0,10,"[0, 15, 24, 17, 12, 10]",6,11,"[1, 8, 13, 14, 18, 19, 23, 25, 26, 27, 29]",207.7675653,6564,1104,2,28,11,1.2228289337766665
basic,1,27,0,0,0,13,"[0, 15, 24, 17, 12, 10, 13]",7,9,"[1, 8, 14, 18, 19, 23, 26, 27, 29]",167.9178476,8152,1588,2,18,11,1.3421291994761178
basic,1,27,0,0,0,19,"[0, 15, 24, 17, 12, 10, 13, 19]",8,5,"[1, 8, 14, 23, 29]",131.6825057,9058,906,2,6,11,1.294749956153846
basic,1,27,0,0,0,8,"[0, 15, 24, 17, 12, 10, 13, 19, 8]",9,3,"[14, 23, 29]",116.816437,9631,573,2,1,11,1.3554286578836865
basic,1,27,0,0,0,29,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29]",10,1,[14],57.61339652,12066,2435,1,0,11,1.248354519573802
basic,1,27,0,0,1,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29, 14]",11,0,[],13.31892734,13582,1516,1,0,11,1.562811097555156
basic,1,27,0,1,1,14,"[0, 15, 24, 17, 12, 10, 13, 19, 8, 29, 14]",11,0,[],13.31892734,15290,1708,1,0,11,1.562811097555156
basic,2,35,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,322,-1,5,236,11,0.0
basic,2,35,0,0,0,24,"[0, 24]",2,27,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",268.9838752,3169,2847,49,512,10,1.0
basic,2,35,0,0,0,17,"[0, 24, 17]",3,26,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",257.2791753,8505,5336,33,238,10,1.0771477201815276
basic,2,35,0,0,0,1,"[0, 24, 17, 1]",4,25,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",241.4677869,9603,1098,26,151,10,1.2244804141479215
basic,2,35,0,0,0,15,"[0, 24, 17, 1, 15]",5,23,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",218.6204676,10606,1003,26,78,10,1.4642196672428094
basic,2,35,0,0,0,23,"[0, 24, 17, 1, 15, 23]",6,11,"[4, 5, 6, 9, 18, 19, 25, 26, 27, 28, 29]",158.1804147,14194,3588,15,12,10,1.3338903684702363
basic,2,35,0,0,0,9,"[0, 24, 17, 1, 15, 23, 9]",7,6,"[5, 6, 18, 19, 25, 27]",120.5373542,15126,932,6,1,10,1.5964380615155294
basic,2,35,0,0,0,18,"[0, 24, 17, 1, 15, 23, 9, 18]",8,3,"[5, 6, 25]",100.5123698,16093,967,2,1,10,1.5508488101942703
basic,2,35,0,0,0,25,"[0, 24, 17, 1, 15, 23, 9, 18, 25]",9,1,[6],66.67452121,17416,1323,1,0,10,1.4408023801578587
basic,2,35,0,0,1,6,"[0, 24, 17, 1, 15, 23, 9, 18, 25, 6]",10,0,[],42.65369691,18794,1378,1,0,10,1.701781671832088
basic,2,35,0,1,1,6,"[0, 24, 17, 1, 15, 23, 9, 18, 25, 6]",10,0,[],42.65369691,31780,12986,1,0,10,1.701781671832088
basic,3,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,343,-1,6,248,10,0.0
basic,3,45,0,0,0,15,"[0, 15]",2,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",253.9022777,8759,8416,5,207,10,1.0
basic,3,45,0,0,0,23,"[0, 15, 23]",3,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 29]",230.3014303,10350,1591,5,163,10,1.0006068457769497
basic,3,45,0,0,0,20,"[0, 15, 23, 20]",4,19,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 21, 22, 24, 25, 29]",188.8647316,11883,1533,5,137,10,1.2062119754673604
basic,3,45,0,0,0,10,"[0, 15, 23, 20, 10]",5,12,"[2, 3, 6, 7, 9, 12, 14, 17, 22, 24, 25, 29]",132.784432,14168,2285,1,54,10,1.1363907740691004
basic,3,45,0,0,0,29,"[0, 15, 23, 20, 10, 29]",6,8,"[2, 3, 6, 7, 12, 14, 22, 24]",111.2437728,15092,924,1,21,10,1.1719694806770014
basic,3,45,0,0,0,3,"[0, 15, 23, 20, 10, 29, 3]",7,5,"[2, 6, 7, 12, 22]",91.24377276,15772,680,1,7,10,1.1637144299354454
basic,3,45,0,0,0,2,"[0, 15, 23, 20, 10, 29, 3, 2]",8,2,"[6, 7]",65.92579496,16766,994,2,0,9,1.3965435955776868
basic,3,45,0,0,1,7,"[0, 15, 23, 20, 10, 29, 3, 2, 7]",9,0,[],27.91263934,29224,12458,1,0,9,2.050819128376323
basic,3,45,0,1,1,7,"[0, 15, 23, 20, 10, 29, 3, 2, 7]",9,0,[],27.91263934,31100,1876,1,0,9,2.050819128376323
basic,4,21,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,109,-1,84,830,9,0.0
basic,4,21,0,0,0,18,"[0, 18]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",240.923778,18440,18331,44,305,9,1.0
basic,4,21,0,0,0,29,"[0, 18, 29]",3,24,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",212.2706805,19294,854,11,87,9,1.035555280387994
basic,4,21,0,0,0,25,"[0, 18, 29, 25]",4,18,"[1, 4, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 23, 24, 26]",167.0490043,20955,1661,6,45,9,2.2226517719335437
basic,4,21,0,0,0,21,"[0, 18, 29, 25, 21]",5,9,"[4, 8, 9, 14, 15, 16, 17, 22, 23]",117.7134187,21996,1041,3,15,9,2.027911600797407
basic,4,21,0,0,0,23,"[0, 18, 29, 25, 21, 23]",6,6,"[4, 8, 14, 15, 16, 17]",88.09923294,23246,1250,1,4,9,2.139975147968579
basic,4,21,0,0,0,14,"[0, 18, 29, 25, 21, 23, 14]",7,2,"[4, 16]",59.03034924,24482,1236,1,1,9,2.1037563056474844
basic,4,21,0,0,0,4,"[0, 18, 29, 25, 21, 23, 14, 4]",8,1,[16],44.88821361,25303,821,1,0,9,1.9945221982247547
basic,4,21,0,0,1,16,"[0, 18, 29, 25, 21, 23, 14, 4, 16]",9,0,[],0.29000737,26569,1266,1,0,9,1.8362252780457913
basic,4,21,0,1,1,16,"[0, 18, 29, 25, 21, 23, 14, 4, 16]",9,0,[],0.29000737,28095,1526,1,0,9,1.8362252780457913
basic,5,42,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,300,-1,16,302,9,0.0
basic,5,42,0,0,0,3,"[0, 3]",2,25,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",255.7959278,12708,12408,3,45,9,1.0
basic,5,42,0,0,0,23,"[0, 3, 23]",3,15,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 15, 17, 22, 24, 25, 29]",202.4573864,13911,1203,1,24,8,1.2042297975308642
basic,5,42,0,0,0,17,"[0, 3, 23, 17]",4,11,"[4, 5, 6, 8, 9, 11, 15, 22, 24, 25, 29]",191.2770465,14510,599,1,14,8,1.192958341617778
basic,5,42,0,0,0,11,"[0, 3, 23, 17, 11]",5,7,"[4, 6, 8, 15, 22, 24, 25]",140.0813435,15658,1148,1,7,8,1.7422648616902974
basic,5,42,0,0,0,24,"[0, 3, 23, 17, 11, 24]",6,2,"[6, 15]",82.0727235,16857,1199,1,1,8,1.6631309430247303
basic,5,42,0,0,0,15,"[0, 3, 23, 17, 11, 24, 15]",7,1,[6],68.47125299,18778,1921,1,0,8,1.6008668931493675
basic,5,42,0,0,1,6,"[0, 3, 23, 17, 11, 24, 15, 6]",8,0,[],19.07489685,20584,1806,1,0,8,1.4594939660868298
basic,5,42,0,1,1,6,"[0, 3, 23, 17, 11, 24, 15, 6]",8,0,[],19.07489685,22153,1569,1,0,8,1.4594939660868298
basic,6,29,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,296,-1,1,78,9,0.0
basic,6,29,0,0,0,25,"[0, 25]",2,18,"[1, 2, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 22, 26, 27, 28]",223.3449284,18918,18622,13,101,8,1.0
basic,6,29,0,0,0,17,"[0, 25, 17]",3,13,"[1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 22, 27, 28]",188.41643,19937,1019,2,22,8,1.014228463693056
basic,6,29,0,0,0,1,"[0, 25, 17, 1]",4,11,"[4, 5, 6, 7, 10, 12, 13, 14, 22, 27, 28]",149.5191293,20882,945,2,18,8,1.7553639368828857
basic,6,29,0,0,0,14,"[0, 25, 17, 1, 14]",5,8,"[4, 5, 7, 12, 13, 22, 27, 28]",106.5656662,22126,1244,2,9,8,2.137167642879409
basic,6,29,0,0,0,13,"[0, 25, 17, 1, 14, 13]",6,4,"[4, 5, 12, 22]",88.53790978,23585,1459,2,3,8,1.9535489858276616
basic,6,29,0,0,0,5,"[0, 25, 17, 1, 14, 13, 5]",7,2,"[4, 22]",62.82798951,24710,1125,2,0,8,1.9087092890879327
basic,6,29,0,0,1,4,"[0, 25, 17, 1, 14, 13, 5, 4]",8,0,[],10.93386653,26257,1547,1,0,8,1.6444131700810427
basic,6,29,0,1,1,4,"[0, 25, 17, 1, 14, 13, 5, 4]",8,0,[],10.93386653,27510,1253,1,0,8,1.6444131700810427
basic,7,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,114,-1,5,41,8,0.0
basic,7,30,0,0,0,25,"[0, 25]",2,12,"[3, 5, 7, 9, 11, 16, 18, 19, 20, 24, 27, 29]",121.1005869,6412,6298,7,37,7,1.0
basic,7,30,0,0,0,20,"[0, 25, 20]",3,9,"[3, 5, 7, 9, 11, 18, 19, 27, 29]",99.16887472,7412,1000,5,16,7,1.0037291321296267
basic,7,30,0,0,0,27,"[0, 25, 20, 27]",4,4,"[3, 5, 18, 29]",65.11010199,8503,1091,4,6,7,1.1217072851053165
basic,7,30,0,0,0,3,"[0, 25, 20, 27, 3]",5,3,"[5, 18, 29]",46.00512882,9377,874,4,0,7,1.1140018780928678
basic,7,30,0,0,0,29,"[0, 25, 20, 27, 3, 29]",6,1,[18],27.40405358,10537,1160,1,0,7,1.119672312555708
basic,7,30,0,0,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,12101,1564,1,0,7,1.1951451398733344
basic,7,30,0,1,1,18,"[0, 25, 20, 27, 3, 29, 18]",7,0,[],8.090845662,15816,3715,1,0,7,1.1951451398733344
basic,8,38,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,110,-1,33,506,9,0.0
basic,8,38,0,0,0,19,"[0, 19]",2,23,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29]",219.5015528,3316,3206,6,61,9,1.0
basic,8,38,0,0,0,17,"[0, 19, 17]",3,21,"[3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29]",198.1239945,3952,636,6,53,9,1.571793785769489
basic,8,38,0,0,0,20,"[0, 19, 17, 20]",4,17,"[3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 18, 22, 24, 25, 26, 27, 28]",174.3542658,4824,872,6,44,9,2.333182710277297
basic,8,38,0,0,0,4,"[0, 19, 17, 20, 4]",5,10,"[5, 11, 13, 14, 15, 16, 24, 26, 27, 28]",140.4131403,6875,2051,5,22,9,2.276099229646013
basic,8,38,0,0,0,15,"[0, 19, 17, 20, 4, 15]",6,8,"[5, 11, 13, 14, 16, 24, 26, 28]",114.4131403,8025,1150,5,6,9,2.5292671156176403
basic,8,38,0,0,0,16,"[0, 19, 17, 20, 4, 15, 16]",7,2,"[11, 28]",72.79583625,11868,3843,2,0,9,2.0765047644693917
basic,8,38,0,0,0,28,"[0, 19, 17, 20, 4, 15, 16, 28]",8,1,[11],43.79583625,16764,4896,1,0,9,2.3990457975039625
basic,8,38,0,0,1,11,"[0, 19, 17, 20, 4, 15, 16, 28, 11]",9,0,[],16.77732407,17934,1170,1,0,9,3.5444395258240657
basic,8,38,0,1,1,11,"[0, 19, 17, 20, 4, 15, 16, 28, 11]",9,0,[],16.77732407,19534,1600,1,0,9,3.5444395258240657
basic,9,19,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,112,-1,12,149,8,0.0
basic,9,19,0,0,0,9,"[0, 9]",2,21,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]",185.9956141,10341,10229,13,76,7,1.0
basic,9,19,0,0,0,6,"[0, 9, 6]",3,13,"[4, 7, 10, 11, 13, 14, 20, 21, 22, 24, 27, 28, 29]",144.5589154,11596,1255,13,38,7,1.0111071984935167
basic,9,19,0,0,0,28,"[0, 9, 6, 28]",4,5,"[4, 11, 14, 22, 27]",93.47075631,12194,598,2,4,7,1.2602621425624105
basic,9,19,0,0,0,4,"[0, 9, 6, 28, 4]",5,4,"[11, 14, 22, 27]",82.29041642,14194,2000,2,2,7,1.3210056324457753
basic,9,19,0,0,0,14,"[0, 9, 6, 28, 4, 14]",6,1,[11],32.28041742,15159,965,1,0,7,1.2802078016419174
basic,9,19,0,0,1,11,"[0, 9, 6, 28, 4, 14, 11]",7,0,[],21.4637636,15758,599,1,0,7,1.2703725192277202
basic,9,19,0,1,1,11,"[0, 9, 6, 28, 4, 14, 11]",7,0,[],21.4637636,19709,3951,1,0,7,1.2703725192277202
basic,10,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,159,-1,16,556,12,0.0
basic,10,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,3777,3618,16,520,12,1.0
basic,10,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,5072,1295,15,422,12,1.082311746871282
basic,10,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,6170,1098,15,389,12,1.215201926898219
basic,10,43,0,0,0,25,"[0, 29, 20, 16, 25]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 19, 22, 23]",175.7708124,14515,8345,53,282,11,1.566384303308987
basic,10,43,0,0,0,15,"[0, 29, 20, 16, 25, 15]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23]",153.0992443,15381,866,27,108,11,1.776736412604812
basic,10,43,0,0,0,12,"[0, 29, 20, 16, 25, 15, 12]",7,10,"[1, 3, 6, 7, 9, 11, 14, 19, 22, 23]",133.7860364,16710,1329,21,41,11,1.6813323012225032
basic,10,43,0,0,0,3,"[0, 29, 20, 16, 25, 15, 12, 3]",8,9,"[1, 6, 7, 9, 11, 14, 19, 22, 23]",120.7860364,17425,715,20,12,11,1.608740348096123
basic,10,43,0,0,0,22,"[0, 29, 20, 16, 25, 15, 12, 3, 22]",9,6,"[1, 6, 7, 11, 14, 19]",86.07292644,19209,1784,9,2,11,1.793657891802588
basic,10,43,0,0,0,19,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19]",10,3,"[1, 6, 7]",65.45739831,20312,1103,3,0,11,1.6882745891803936
basic,10,43,0,0,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,22028,1716,1,0,11,1.825064866046553
basic,10,43,0,1,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,25280,3252,1,0,11,1.825064866046553
basic,11,39,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,344,-1,1,30,10,0.0
basic,11,39,0,0,0,29,"[0, 29]",2,26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",243.0614366,9173,8829,8,104,9,1.0
basic,11,39,0,0,0,12,"[0, 29, 12]",3,18,"[1, 2, 4, 5, 7, 9, 10, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26, 28]",182.5221931,10920,1747,5,54,9,1.0026200331524904
basic,11,39,0,0,0,10,"[0, 29, 12, 10]",4,16,"[1, 2, 4, 5, 7, 9, 13, 14, 15, 16, 18, 19, 22, 23, 24, 26]",147.0116313,13423,2503,5,34,9,1.2874817019928908
basic,11,39,0,0,0,7,"[0, 29, 12, 10, 7]",5,10,"[1, 2, 5, 13, 16, 18, 19, 22, 24, 26]",113.5900814,14324,901,4,12,9,1.2250826263866774
basic,11,39,0,0,0,26,"[0, 29, 12, 10, 7, 26]",6,5,"[1, 16, 18, 19, 22]",94.90853971,15189,865,3,4,9,1.2697275353190085
basic,11,39,0,0,0,22,"[0, 29, 12, 10, 7, 26, 22]",7,2,"[16, 19]",77.18849457,16492,1303,2,0,9,1.438961743955176
basic,11,39,0,0,0,16,"[0, 29, 12, 10, 7, 26, 22, 16]",8,1,[19],42.18849457,17762,1270,1,0,9,1.3580882130477205
basic,11,39,0,0,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,21193,3431,1,0,9,1.3646589157842668
basic,11,39,0,1,1,19,"[0, 29, 12, 10, 7, 26, 22, 16, 19]",9,0,[],24.72424537,23895,2702,1,0,9,1.3646589157842668
basic,12,24,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,116,-1,4,76,10,0.0
basic,12,24,0,0,0,8,"[0, 8]",2,25,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",189.8864223,5746,5630,3,32,9,1.0
basic,12,24,0,0,0,22,"[0, 8, 22]",3,22,"[2, 3, 4, 6, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",176.4700144,6950,1204,2,18,9,1.1722307492646213
basic,12,24,0,0,0,15,"[0, 8, 22, 15]",4,18,"[3, 4, 6, 9, 10, 11, 13, 14, 16, 17, 21, 23, 24, 25, 26, 27, 28, 29]",155.256811,8089,1139,7,29,8,1.2100226365813107
basic,12,24,0,0,0,28,"[0, 8, 22, 15, 28]",5,9,"[3, 4, 9, 11, 13, 16, 23, 26, 27]",109.9798853,9135,1046,4,9,8,1.154268696365267
basic,12,24,0,0,0,23,"[0, 8, 22, 15, 28, 23]",6,5,"[4, 9, 11, 16, 27]",90.95358769,10111,976,4,2,8,1.186519463208946
basic,12,24,0,0,0,11,"[0, 8, 22, 15, 28, 23, 11]",7,2,"[9, 27]",64.02776365,12105,1994,2,0,8,1.17479115036004
basic,12,24,0,0,1,9,"[0, 8, 22, 15, 28, 23, 11, 9]",8,0,[],31.77873266,15419,3314,1,0,8,1.2635931266148863
basic,12,24,0,1,1,9,"[0, 8, 22, 15, 28, 23, 11, 9]",8,0,[],31.77873266,17186,1767,1,0,8,1.2635931266148863
basic,13,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,129,-1,31,704,9,0.0
basic,13,22,0,0,0,16,"[0, 16]",2,21,"[1, 3, 6, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",218.605897,9733,9604,17,147,9,1.0
basic,13,22,0,0,0,28,"[0, 16, 28]",3,13,"[6, 7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",184.1675463,10745,1012,12,61,9,1.047282311284478
basic,13,22,0,0,0,6,"[0, 16, 28, 6]",4,12,"[7, 9, 13, 14, 17, 19, 20, 21, 22, 24, 25, 29]",154.1675463,11705,960,12,43,9,1.645645870580622
basic,13,22,0,0,0,9,"[0, 16, 28, 6, 9]",5,8,"[7, 14, 17, 19, 20, 21, 24, 29]",127.5404924,13761,2056,8,17,9,1.925750226630103
basic,13,22,0,0,0,19,"[0, 16, 28, 6, 9, 19]",6,6,"[7, 14, 17, 21, 24, 29]",107.1444143,15913,2152,3,7,9,2.4220750331476455
basic,13,22,0,0,0,29,"[0, 16, 28, 6, 9, 19, 29]",7,4,"[7, 14, 17, 24]",92.11111796,16483,570,2,2,9,2.6996279574991067
basic,13,22,0,0,0,14,"[0, 16, 28, 6, 9, 19, 29, 14]",8,1,[7],33.86165444,21929,5446,1,0,9,2.0544639927929462
basic,13,22,0,0,1,7,"[0, 16, 28, 6, 9, 19, 29, 14, 7]",9,0,[],20.82324963,23372,1443,1,0,9,2.219817088951114
basic,13,22,0,1,1,7,"[0, 16, 28, 6, 9, 19, 29, 14, 7]",9,0,[],20.82324963,25929,2557,1,0,9,2.219817088951114
basic,14,34,0,0,0,0,[0],1,25,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,109,-1,12,367,10,0.0
basic,14,34,0,0,0,13,"[0, 13]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",279.9750156,5274,5165,12,331,10,1.0
basic,14,34,0,0,0,1,"[0, 13, 1]",3,16,"[3, 5, 7, 8, 9, 10, 11, 12, 19, 21, 22, 23, 24, 25, 27, 29]",211.8574701,6753,1479,3,92,10,1.0010381285747127
basic,14,34,0,0,0,8,"[0, 13, 1, 8]",4,14,"[3, 5, 7, 9, 10, 11, 12, 19, 22, 23, 24, 25, 27, 29]",201.0871405,7244,491,2,54,10,1.1636807
basic,14,34,0,0,0,25,"[0, 13, 1, 8, 25]",5,12,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 24, 27, 29]",183.999133,8443,1199,2,28,10,1.1396208815936457
basic,14,34,0,0,0,24,"[0, 13, 1, 8, 25, 24]",6,11,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 27, 29]",166.5062774,9492,1049,2,23,10,1.374180768736554
