condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
basic,0,38,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,142,-1,33,506,9,0.0
basic,0,38,0,0,0,19,"[0, 19]",2,23,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29]",219.5015528,29435,29293,6,61,9,1.0
basic,0,38,0,0,0,17,"[0, 19, 17]",3,21,"[3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29]",198.1239945,30367,932,6,53,9,1.571793785769489
basic,0,38,0,0,0,20,"[0, 19, 17, 20]",4,17,"[3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 18, 22, 24, 25, 26, 27, 28]",174.3542658,31122,755,6,44,9,2.333182710277297
basic,0,38,0,0,0,4,"[0, 19, 17, 20, 4]",5,10,"[5, 11, 13, 14, 15, 16, 24, 26, 27, 28]",140.4131403,44588,13466,5,22,9,2.276099229646013
basic,0,38,0,0,0,15,"[0, 19, 17, 20, 4, 15]",6,8,"[5, 11, 13, 14, 16, 24, 26, 28]",114.4131403,45529,941,5,6,9,2.5292671156176403
basic,0,38,0,0,0,11,"[0, 19, 17, 20, 4, 15, 11]",7,2,"[16, 28]",78.01259089,46631,1102,2,0,9,2.778100109749787
basic,0,38,0,0,0,28,"[0, 19, 17, 20, 4, 15, 11, 28]",8,1,[16],50.99407872,52205,5574,1,0,9,2.3316428595723258
basic,0,38,0,0,1,16,"[0, 19, 17, 20, 4, 15, 11, 28, 16]",9,0,[],21.99407872,52822,617,1,0,9,2.5408012360364265
basic,0,38,0,1,1,16,"[0, 19, 17, 20, 4, 15, 11, 28, 16]",9,0,[],21.99407872,55314,2492,1,0,9,2.5408012360364265
basic,1,26,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,9,226,9,0.0
basic,1,26,0,0,0,21,"[0, 21]",2,25,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29]",211.1349337,19570,19408,7,90,9,1.0
basic,1,26,0,0,0,13,"[0, 21, 13]",3,21,"[3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 29]",188.9989901,20105,535,6,45,9,1.0103952279992225
basic,1,26,0,0,0,23,"[0, 21, 13, 23]",4,13,"[3, 4, 5, 6, 10, 11, 14, 16, 17, 18, 22, 26, 29]",150.9858345,21184,1079,3,17,9,1.1069410469330032
basic,1,26,0,0,0,16,"[0, 21, 13, 23, 16]",5,7,"[4, 5, 6, 10, 14, 17, 29]",97.75050789,21956,772,3,13,9,1.8066634000662438
basic,1,26,0,0,0,29,"[0, 21, 13, 23, 16, 29]",6,5,"[4, 6, 10, 14, 17]",73.54307102,22432,476,3,9,9,1.853342605492142
basic,1,26,0,0,0,4,"[0, 21, 13, 23, 16, 29, 4]",7,3,"[6, 14, 17]",49.54307102,23137,705,2,2,9,2.0664369230924997
basic,1,26,0,0,0,17,"[0, 21, 13, 23, 16, 29, 4, 17]",8,2,"[6, 14]",28.44804791,24003,866,2,0,9,1.911153301956092
basic,1,26,0,0,1,14,"[0, 21, 13, 23, 16, 29, 4, 17, 14]",9,0,[],5.975842855,24442,439,1,0,9,1.8245133223656398
basic,1,26,0,1,1,14,"[0, 21, 13, 23, 16, 29, 4, 17, 14]",9,0,[],5.975842855,28322,3880,1,0,9,1.8245133223656398
basic,2,18,0,0,0,0,[0],1,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,161,-1,3,136,10,0.0
basic,2,18,0,0,0,28,"[0, 28]",2,16,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",236.4311397,4932,4771,2,19,10,1.0
basic,2,18,0,0,0,7,"[0, 28, 7]",3,15,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 24, 25, 26, 27]",214.4084242,5466,534,2,17,10,1.4345180696367563
basic,2,18,0,0,0,25,"[0, 28, 7, 25]",4,13,"[1, 3, 5, 8, 9, 12, 13, 14, 16, 20, 23, 26, 27]",186.6055466,7098,1632,2,15,10,1.8896451241781882
basic,2,18,0,0,0,8,"[0, 28, 7, 25, 8]",5,10,"[3, 5, 9, 12, 13, 14, 16, 23, 26, 27]",149.551532,12211,5113,2,10,10,1.590467437592877
basic,2,18,0,0,0,13,"[0, 28, 7, 25, 8, 13]",6,9,"[3, 5, 9, 12, 14, 16, 23, 26, 27]",128.4565089,12709,498,2,5,10,1.8248274983549797
basic,2,18,0,0,0,14,"[0, 28, 7, 25, 8, 13, 14]",7,7,"[3, 5, 9, 12, 23, 26, 27]",109.4828429,13210,501,2,3,10,1.6993534956692746
basic,2,18,0,0,0,5,"[0, 28, 7, 25, 8, 13, 14, 5]",8,1,[12],27.4462657,14528,1318,1,0,9,1.5249327462045208
basic,2,18,0,0,1,12,"[0, 28, 7, 25, 8, 13, 14, 5, 12]",9,0,[],16.04451145,16557,2029,1,0,9,1.5304293755104785
basic,2,18,0,1,1,12,"[0, 28, 7, 25, 8, 13, 14, 5, 12]",9,0,[],16.04451145,18430,1873,1,0,9,1.5304293755104785
basic,3,1,0,0,0,0,[0],1,26,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",300,131,-1,6,74,7,0.0
basic,3,1,0,0,0,8,"[0, 8]",2,23,"[1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29]",202,12845,12714,1,16,7,1.0
basic,3,1,0,0,0,20,"[0, 8, 20]",3,12,"[1, 4, 5, 11, 13, 14, 15, 17, 18, 19, 28, 29]",125.9408125,13975,1130,1,7,7,1.02364736730791
basic,3,1,0,0,0,5,"[0, 8, 20, 5]",4,7,"[1, 4, 11, 13, 17, 18, 29]",104.469902,14878,903,1,3,7,1.0439599203945713
basic,3,1,0,0,0,18,"[0, 8, 20, 5, 18]",5,2,"[4, 29]",81.64447755,17165,2287,1,1,7,1.0840407791793756
basic,3,1,0,0,0,4,"[0, 8, 20, 5, 18, 4]",6,1,[29],42.69579336,17991,826,1,0,7,1.0902329133216275
basic,3,1,0,0,1,29,"[0, 8, 20, 5, 18, 4, 29]",7,0,[],6.640280603,19533,1542,1,0,7,1.2859729622882756
basic,3,1,0,1,1,29,"[0, 8, 20, 5, 18, 4, 29]",7,0,[],6.640280603,20763,1230,1,0,7,1.2859729622882756
basic,4,34,0,0,0,0,[0],1,25,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,148,-1,12,367,10,0.0
basic,4,34,0,0,0,13,"[0, 13]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",279.9750156,1987,1839,12,331,10,1.0
basic,4,34,0,0,0,1,"[0, 13, 1]",3,16,"[3, 5, 7, 8, 9, 10, 11, 12, 19, 21, 22, 23, 24, 25, 27, 29]",211.8574701,2790,803,3,92,10,1.0010381285747127
basic,4,34,0,0,0,8,"[0, 13, 1, 8]",4,14,"[3, 5, 7, 9, 10, 11, 12, 19, 22, 23, 24, 25, 27, 29]",201.0871405,3542,752,2,54,10,1.1636807
basic,4,34,0,0,0,25,"[0, 13, 1, 8, 25]",5,12,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 24, 27, 29]",183.999133,4351,809,2,28,10,1.1396208815936457
basic,4,34,0,0,0,24,"[0, 13, 1, 8, 25, 24]",6,11,"[3, 5, 7, 9, 10, 11, 12, 22, 23, 27, 29]",166.5062774,5049,698,2,23,10,1.374180768736554
basic,4,34,0,0,0,12,"[0, 13, 1, 8, 25, 24, 12]",7,7,"[7, 9, 10, 11, 22, 23, 27]",115.4670767,11848,6799,1,8,10,1.4994254760835948
basic,4,34,0,0,0,7,"[0, 13, 1, 8, 25, 24, 12, 7]",8,5,"[9, 11, 22, 23, 27]",100.4337804,12344,496,1,4,10,1.758992610425009
basic,4,34,0,0,0,23,"[0, 13, 1, 8, 25, 24, 12, 7, 23]",9,1,[27],72.27352467,13065,721,1,0,10,2.399781305190153
basic,4,34,0,0,1,27,"[0, 13, 1, 8, 25, 24, 12, 7, 23, 27]",10,0,[],18.60789321,13960,895,1,0,10,4.766619878750327
basic,4,34,0,1,1,27,"[0, 13, 1, 8, 25, 24, 12, 7, 23, 27]",10,0,[],18.60789321,15052,1092,1,0,10,4.766619878750327
basic,5,8,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,146,-1,10,149,9,0.0
basic,5,8,0,0,0,5,"[0, 5]",2,28,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",254.5137383,6505,6359,10,100,9,1.0
basic,5,8,0,0,0,25,"[0, 5, 25]",3,20,"[1, 2, 3, 4, 6, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29]",215.3091468,7207,702,4,42,9,1.2272747879909065
basic,5,8,0,0,0,1,"[0, 5, 25, 1]",4,17,"[3, 4, 6, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 29]",190.3091468,7830,623,3,24,9,1.1770245007593956
basic,5,8,0,0,0,23,"[0, 5, 25, 1, 23]",5,15,"[3, 4, 6, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 28, 29]",167.2874179,8279,449,1,14,9,1.141996583852372
basic,5,8,0,0,0,18,"[0, 5, 25, 1, 23, 18]",6,9,"[3, 4, 11, 14, 15, 16, 17, 24, 28]",125.5261919,9217,938,1,7,9,1.3199166330970717
basic,5,8,0,0,0,14,"[0, 5, 25, 1, 23, 18, 14]",7,2,"[11, 17]",68.03706246,16825,7608,1,1,9,2.714920831666598
basic,5,8,0,0,0,17,"[0, 5, 25, 1, 23, 18, 14, 17]",8,1,[11],31.02355141,17444,619,1,0,9,2.462600896722246
basic,5,8,0,0,1,11,"[0, 5, 25, 1, 23, 18, 14, 17, 11]",9,0,[],5.84419479,17974,530,1,0,9,2.246839316887767
basic,5,8,0,1,1,11,"[0, 5, 25, 1, 23, 18, 14, 17, 11]",9,0,[],5.84419479,18814,840,1,0,9,2.246839316887767
basic,6,14,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,164,-1,8,157,10,0.0
basic,6,14,0,0,0,15,"[0, 15]",2,20,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",216.7053423,3114,2950,8,102,10,1.0
basic,6,14,0,0,0,28,"[0, 15, 28]",3,17,"[1, 2, 3, 4, 7, 8, 9, 13, 17, 18, 19, 20, 22, 23, 25, 26, 27]",197.4959696,3583,469,8,48,10,1.0446007867311968
basic,6,14,0,0,0,17,"[0, 15, 28, 17]",4,14,"[1, 2, 3, 4, 7, 8, 13, 18, 19, 20, 22, 23, 25, 26]",184.0423455,3988,405,8,39,10,1.0729463354689972
basic,6,14,0,0,0,18,"[0, 15, 28, 17, 18]",5,9,"[1, 2, 4, 7, 8, 19, 23, 25, 26]",119.412631,4722,734,8,27,10,1.5035901079219378
basic,6,14,0,0,0,8,"[0, 15, 28, 17, 18, 8]",6,8,"[1, 2, 4, 7, 19, 23, 25, 26]",105.8111605,5314,592,8,18,10,1.4819689987843856
basic,6,14,0,0,0,1,"[0, 15, 28, 17, 18, 8, 1]",7,5,"[7, 19, 23, 25, 26]",82.21031307,6006,692,4,6,10,1.4084991998385268
basic,6,14,0,0,0,19,"[0, 15, 28, 17, 18, 8, 1, 19]",8,4,"[7, 23, 25, 26]",66.97876686,6481,475,4,1,10,1.5758713333797987
basic,6,14,0,0,0,26,"[0, 15, 28, 17, 18, 8, 1, 19, 26]",9,1,[23],13.75283333,7797,1316,1,0,10,1.4427883209195413
basic,6,14,0,0,1,23,"[0, 15, 28, 17, 18, 8, 1, 19, 26, 23]",10,0,[],2.936179503,8329,532,1,0,10,1.5803726510701064
basic,6,14,0,1,1,23,"[0, 15, 28, 17, 18, 8, 1, 19, 26, 23]",10,0,[],2.936179503,9456,1127,1,0,10,1.5803726510701064
basic,7,40,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,197,-1,8,191,9,0.0
basic,7,40,0,0,0,1,"[0, 1]",2,18,"[2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",247.8463808,6464,6267,4,80,9,1.0
basic,7,40,0,0,0,6,"[0, 1, 6]",3,17,"[2, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 23, 27, 29]",227.7466295,6888,424,4,74,9,1.0459427008232034
basic,7,40,0,0,0,21,"[0, 1, 6, 21]",4,8,"[2, 5, 9, 17, 18, 19, 22, 23]",175.7754837,7606,718,4,25,9,1.0308822257404064
basic,7,40,0,0,0,9,"[0, 1, 6, 21, 9]",5,6,"[2, 5, 18, 19, 22, 23]",130.0699041,8132,526,4,12,9,1.377861912961129
basic,7,40,0,0,0,18,"[0, 1, 6, 21, 9, 18]",6,5,"[2, 5, 19, 22, 23]",113.5169588,8517,385,4,4,9,1.5742712168661408
basic,7,40,0,0,0,5,"[0, 1, 6, 21, 9, 18, 5]",7,3,"[19, 22, 23]",81.94165198,9063,546,2,1,9,1.7730665063055515
basic,7,40,0,0,0,23,"[0, 1, 6, 21, 9, 18, 5, 23]",8,1,[19],53.63970859,10684,1621,1,0,9,2.597442759912231
basic,7,40,0,0,1,19,"[0, 1, 6, 21, 9, 18, 5, 23, 19]",9,0,[],21.68661797,11527,843,1,0,9,2.7128328554069565
basic,7,40,0,1,1,19,"[0, 1, 6, 21, 9, 18, 5, 23, 19]",9,0,[],21.68661797,12953,1426,1,0,9,2.7128328554069565
basic,8,12,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,163,-1,2,32,9,0.0
basic,8,12,0,0,0,16,"[0, 16]",2,16,"[2, 4, 5, 6, 7, 12, 13, 14, 18, 19, 22, 23, 24, 25, 27, 29]",209.2916762,21916,21753,3,38,8,1.0
basic,8,12,0,0,0,4,"[0, 16, 4]",3,11,"[2, 5, 6, 7, 12, 14, 19, 22, 24, 25, 27]",175.0864135,22508,592,1,16,8,1.00004499617691
basic,8,12,0,0,0,12,"[0, 16, 4, 12]",4,6,"[14, 19, 22, 24, 25, 27]",132.8963673,23965,1457,1,8,8,1.0113942412768022
basic,8,12,0,0,0,27,"[0, 16, 4, 12, 27]",5,4,"[14, 19, 22, 24]",108.5447759,24575,610,1,3,8,1.1193150037844588
basic,8,12,0,0,0,14,"[0, 16, 4, 12, 27, 14]",6,2,"[19, 24]",79.89167838,25095,520,1,1,8,1.1821826897854277
basic,8,12,0,0,0,24,"[0, 16, 4, 12, 27, 14, 24]",7,1,[19],62.68702784,25699,604,1,0,8,1.3297400833764192
basic,8,12,0,0,1,19,"[0, 16, 4, 12, 27, 14, 24, 19]",8,0,[],3.865263163,26613,914,1,0,8,2.27325645157102
basic,8,12,0,1,1,19,"[0, 16, 4, 12, 27, 14, 24, 19]",8,0,[],3.865263163,27574,961,1,0,8,2.27325645157102
basic,9,30,0,0,0,0,[0],1,19,"[3, 4, 5, 7, 9, 11, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",300,146,-1,5,41,8,0.0
basic,9,30,0,0,0,27,"[0, 27]",2,10,"[3, 5, 7, 9, 18, 19, 20, 24, 25, 29]",90.59608409,5496,5350,7,22,6,1.0
basic,9,30,0,0,0,3,"[0, 27, 3]",3,8,"[5, 7, 18, 19, 20, 24, 25, 29]",71.49111091,6185,689,5,9,6,1.0022223300201003
basic,9,30,0,0,0,29,"[0, 27, 3, 29]",4,5,"[5, 7, 18, 19, 20]",52.89003567,6906,721,2,3,6,1.0149900937654948
basic,9,30,0,0,0,18,"[0, 27, 3, 29, 18]",5,1,[5],33.57682776,7394,488,1,0,6,1.0907994995031296
basic,9,30,0,0,1,5,"[0, 27, 3, 29, 18, 5]",6,0,[],20.53842295,7993,599,1,0,6,1.1556882660658163
basic,9,30,0,1,1,5,"[0, 27, 3, 29, 18, 5]",6,0,[],20.53842295,13535,5542,1,0,6,1.1556882660658163
basic,10,45,0,0,0,0,[0],1,24,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",300,148,-1,6,248,10,0.0
basic,10,45,0,0,0,15,"[0, 15]",2,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",253.9022777,2920,2772,5,207,10,1.0
basic,10,45,0,0,0,23,"[0, 15, 23]",3,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 29]",230.3014303,3403,483,5,163,10,1.0006068457769497
basic,10,45,0,0,0,20,"[0, 15, 23, 20]",4,19,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 19, 21, 22, 24, 25, 29]",188.8647316,8766,5363,5,137,10,1.2062119754673604
basic,10,45,0,0,0,10,"[0, 15, 23, 20, 10]",5,12,"[2, 3, 6, 7, 9, 12, 14, 17, 22, 24, 25, 29]",132.784432,10066,1300,1,54,10,1.1363907740691004
basic,10,45,0,0,0,6,"[0, 15, 23, 20, 10, 6]",6,7,"[2, 3, 7, 12, 22, 24, 29]",106.5356225,14614,4548,20,9,9,1.12325622461992
basic,10,45,0,0,0,12,"[0, 15, 23, 20, 10, 6, 12]",7,4,"[2, 3, 22, 29]",86.4110107,15179,565,6,1,9,1.1241525752631578
basic,10,45,0,0,0,22,"[0, 15, 23, 20, 10, 6, 12, 22]",8,2,"[3, 29]",54.83570389,15778,599,2,0,9,1.1537558546242075
basic,10,45,0,0,1,3,"[0, 15, 23, 20, 10, 6, 12, 22, 3]",9,0,[],11.37307626,16756,978,1,0,9,1.6089547146201597
basic,10,45,0,1,1,3,"[0, 15, 23, 20, 10, 6, 12, 22, 3]",9,0,[],11.37307626,17683,927,1,0,9,1.6089547146201597
basic,11,5,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,180,-1,5,139,9,0.0
basic,11,5,0,0,0,12,"[0, 12]",2,22,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28]",228.3062067,6200,6020,1,27,9,1.0
basic,11,5,0,0,0,25,"[0, 12, 25]",3,21,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28]",200.5213187,6800,600,1,20,9,1.584023303445617
basic,11,5,0,0,0,23,"[0, 12, 25, 23]",4,19,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27]",182.0822298,7370,570,1,14,9,2.3508446989254357
basic,11,5,0,0,0,24,"[0, 12, 25, 23, 24]",5,15,"[2, 4, 5, 6, 8, 9, 13, 14, 15, 17, 18, 19, 22, 26, 27]",158.995437,7972,602,1,12,9,1.9469752046288753
basic,11,5,0,0,0,17,"[0, 12, 25, 23, 24, 17]",6,7,"[4, 5, 6, 8, 15, 18, 19]",124.0097257,8543,571,1,8,9,1.6482276497563642
basic,11,5,0,0,0,5,"[0, 12, 25, 23, 24, 17, 5]",7,4,"[4, 6, 15, 18]",80.96323916,9604,1061,1,3,9,1.4654649104389412
basic,11,5,0,0,1,6,"[0, 12, 25, 23, 24, 17, 5, 6]",8,0,[],11.64513186,10601,997,1,0,8,1.7266758571257486
basic,11,5,0,1,1,6,"[0, 12, 25, 23, 24, 17, 5, 6]",8,0,[],11.64513186,14435,3834,1,0,8,1.7266758571257486
basic,12,16,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,162,-1,13,161,9,0.0
basic,12,16,0,0,0,17,"[0, 17]",2,27,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",241.3058776,2524,2362,2,58,9,1.0
basic,12,16,0,0,0,16,"[0, 17, 16]",3,26,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",212.9862731,3224,700,2,52,9,1.0529535521792848
basic,12,16,0,0,0,8,"[0, 17, 16, 8]",4,19,"[2, 3, 4, 5, 9, 12, 13, 14, 15, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",164.6127266,4063,839,2,38,9,1.0915134501573105
basic,12,16,0,0,0,20,"[0, 17, 16, 8, 20]",5,10,"[3, 4, 5, 9, 12, 13, 15, 19, 21, 25]",106.8372993,6116,2053,1,15,9,1.067523143001942
basic,12,16,0,0,0,25,"[0, 17, 16, 8, 20, 25]",6,7,"[3, 4, 5, 9, 12, 13, 15]",94.18818869,6681,565,1,9,9,1.1170093326933646
basic,12,16,0,0,0,9,"[0, 17, 16, 8, 20, 25, 9]",7,5,"[3, 4, 5, 13, 15]",81.38194021,7151,470,1,4,9,1.1095076562662525
basic,12,16,0,0,0,15,"[0, 17, 16, 8, 20, 25, 9, 15]",8,1,[5],42.48463953,7903,752,1,0,9,1.213831159678775
basic,12,16,0,0,1,5,"[0, 17, 16, 8, 20, 25, 9, 15, 5]",9,0,[],13.0567616,8510,607,1,0,9,1.5171779607523481
basic,12,16,0,1,1,5,"[0, 17, 16, 8, 20, 25, 9, 15, 5]",9,0,[],13.0567616,9355,845,1,0,9,1.5171779607523481
basic,13,43,0,0,0,0,[0],1,23,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27, 29]",300,165,-1,16,556,12,0.0
basic,13,43,0,0,0,29,"[0, 29]",2,22,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 27]",277.909278,1640,1475,16,520,12,1.0
basic,13,43,0,0,0,20,"[0, 29, 20]",3,20,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 25, 27]",254.4785289,3328,1688,15,422,12,1.082311746871282
basic,13,43,0,0,0,16,"[0, 29, 20, 16]",4,19,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 27]",231.8511119,3900,572,15,389,12,1.215201926898219
basic,13,43,0,0,0,25,"[0, 29, 20, 16, 25]",5,14,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 19, 22, 23]",175.7708124,11053,7153,53,282,11,1.566384303308987
basic,13,43,0,0,0,15,"[0, 29, 20, 16, 25, 15]",6,13,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 19, 22, 23]",153.0992443,11651,598,27,108,11,1.776736412604812
basic,13,43,0,0,0,12,"[0, 29, 20, 16, 25, 15, 12]",7,10,"[1, 3, 6, 7, 9, 11, 14, 19, 22, 23]",133.7860364,12224,573,21,41,11,1.6813323012225032
basic,13,43,0,0,0,3,"[0, 29, 20, 16, 25, 15, 12, 3]",8,9,"[1, 6, 7, 9, 11, 14, 19, 22, 23]",120.7860364,12602,378,20,12,11,1.608740348096123
basic,13,43,0,0,0,22,"[0, 29, 20, 16, 25, 15, 12, 3, 22]",9,6,"[1, 6, 7, 11, 14, 19]",86.07292644,16099,3497,9,2,11,1.793657891802588
basic,13,43,0,0,0,19,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19]",10,3,"[1, 6, 7]",65.45739831,16517,418,3,0,11,1.6882745891803936
basic,13,43,0,0,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,17389,872,1,0,11,1.825064866046553
basic,13,43,0,1,1,1,"[0, 29, 20, 16, 25, 15, 12, 3, 22, 19, 1]",11,0,[],37.2793927,20731,3342,1,0,11,1.825064866046553
basic,14,36,0,0,0,0,[0],1,24,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29]",300,147,-1,2,200,10,0.0
basic,14,36,0,0,0,16,"[0, 16]",2,12,"[2, 8, 9, 10, 12, 13, 17, 18, 19, 23, 25, 27]",193.262003,9581,9434,20,112,8,1.0
basic,14,36,0,0,0,17,"[0, 16, 17]",3,10,"[2, 9, 10, 12, 13, 18, 19, 23, 25, 27]",164.9423985,10164,583,14,64,8,1.4289609665642613
basic,14,36,0,0,0,9,"[0, 16, 17, 9]",4,8,"[2, 10, 12, 13, 18, 19, 23, 25]",138.693589,10763,599,6,21,8,2.335567583937715
basic,14,36,0,0,0,19,"[0, 16, 17, 9, 19]",5,6,"[2, 10, 12, 13, 18, 25]",123.5608431,11886,1123,6,5,8,2.2891022786553017
basic,14,36,0,0,0,2,"[0, 16, 17, 9, 19, 2]",6,3,"[10, 13, 25]",86.43942067,12843,957,2,1,8,1.891101810711848
basic,14,36,0,0,0,25,"[0, 16, 17, 9, 19, 2, 25]",7,1,[13],61.43942067,13526,683,1,0,8,2.0836773189568087
basic,14,36,0,0,1,13,"[0, 16, 17, 9, 19, 2, 25, 13]",8,0,[],40.84816038,13969,443,1,0,8,2.642206520923964
basic,14,36,0,1,1,13,"[0, 16, 17, 9, 19, 2, 25, 13]",8,0,[],40.84816038,15800,1831,1,0,8,2.642206520923964
basic,15,22,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,150,-1,31,704,9,0.0
