condition,trial_id,map_id,undoIndicator,submit,checkEnd,currentChoice,chosen_all,n_city_all,n_within_reach,cities_reach,currentBudget,time_all,rt_all,n_opt_paths_all,n_subopt_paths_all,mas_all,tortuosity_all
undo,0,13,0,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,154,-1,60,2676,11,0.0
undo,0,13,0,0,0,28,"[0, 28]",2,24,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 29]",226.3182519,8045,7891,12,378,10,1.0
undo,0,13,0,0,0,2,"[0, 28, 2]",3,20,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 29]",188.6751915,10147,2102,9,174,10,1.0158286399660754
undo,0,13,0,0,0,29,"[0, 28, 2, 29]",4,19,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27]",176.9704916,10882,735,9,132,10,1.1053279759370194
undo,0,13,0,0,0,7,"[0, 28, 2, 29, 7]",5,18,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27]",161.706154,11845,963,6,72,10,1.313811244316471
undo,0,13,0,0,0,26,"[0, 28, 2, 29, 7, 26]",6,17,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 27]",151.2658475,12613,768,6,39,10,1.554636901089982
undo,0,13,0,0,0,6,"[0, 28, 2, 29, 7, 26, 6]",7,13,"[1, 3, 4, 11, 13, 15, 16, 17, 19, 20, 23, 24, 27]",131.1660963,13647,1034,4,17,10,1.554967005613632
undo,0,13,0,0,0,11,"[0, 28, 2, 29, 7, 26, 6, 11]",8,6,"[1, 13, 15, 16, 17, 23]",112.0611231,14547,900,3,4,10,1.4733168623367165
undo,0,13,0,0,0,13,"[0, 28, 2, 29, 7, 26, 6, 11, 13]",9,2,"[15, 17]",55.98082354,16759,2212,2,0,10,1.3447287374536006
undo,0,13,0,0,1,15,"[0, 28, 2, 29, 7, 26, 6, 11, 13, 15]",10,0,[],16.16876507,18081,1322,1,0,10,1.3473372715243728
undo,0,13,1,0,0,13,"[0, 28, 2, 29, 7, 26, 6, 11, 13]",9,2,"[15, 17]",55.98082354,20455,2374,2,0,10,1.3447287374536006
undo,0,13,1,0,0,11,"[0, 28, 2, 29, 7, 26, 6, 11]",8,6,"[1, 13, 15, 16, 17, 23]",112.0611231,20622,167,3,4,10,1.4733168623367165
undo,0,13,1,0,0,6,"[0, 28, 2, 29, 7, 26, 6]",7,13,"[1, 3, 4, 11, 13, 15, 16, 17, 19, 20, 23, 24, 27]",131.1660963,20772,150,4,17,10,1.554967005613632
undo,0,13,1,0,0,26,"[0, 28, 2, 29, 7, 26]",6,17,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 27]",151.2658475,20955,183,6,39,10,1.554636901089982
undo,0,13,1,0,0,7,"[0, 28, 2, 29, 7]",5,18,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27]",161.706154,21137,182,6,72,10,1.313811244316471
undo,0,13,1,0,0,29,"[0, 28, 2, 29]",4,19,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27]",176.9704916,21470,333,9,132,10,1.1053279759370194
undo,0,13,1,0,0,2,"[0, 28, 2]",3,20,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 29]",188.6751915,21805,335,9,174,10,1.0158286399660754
undo,0,13,1,0,0,28,"[0, 28]",2,24,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 29]",226.3182519,22187,382,12,378,10,1.0
undo,0,13,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,22604,417,60,2676,11,0.0
undo,0,13,0,0,0,24,"[0, 24]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",288.8196601,24379,1775,16,1444,11,1.0
undo,0,13,0,0,0,23,"[0, 24, 23]",3,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29]",243.1140806,25265,886,2,868,11,1.0065545717039834
undo,0,13,0,0,0,16,"[0, 24, 23, 16]",4,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29]",202.8027918,26381,1116,1,145,11,1.055930143104189
undo,0,13,0,0,0,3,"[0, 24, 23, 16, 3]",5,20,"[2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 25, 26, 27, 28, 29]",174.3598665,27369,988,3,44,10,1.233783650807853
undo,0,13,0,0,0,20,"[0, 24, 23, 16, 3, 20]",6,15,"[4, 6, 7, 8, 9, 11, 14, 18, 21, 22, 25, 26, 27, 28, 29]",155.3335689,28177,808,7,15,9,1.3149320474556456
undo,0,13,0,0,0,4,"[0, 24, 23, 16, 3, 20, 4]",7,5,"[6, 8, 18, 25, 27]",133.3108534,29166,989,2,4,9,1.2859964130018764
undo,0,13,0,0,0,27,"[0, 24, 23, 16, 3, 20, 4, 27]",8,2,"[8, 18]",111.2881379,32064,2898,2,0,9,1.3345945780156503
undo,0,13,0,0,1,18,"[0, 24, 23, 16, 3, 20, 4, 27, 18]",9,0,[],16.20922326,33716,1652,1,0,9,1.2000709670094927
undo,0,13,1,0,0,27,"[0, 24, 23, 16, 3, 20, 4, 27]",8,2,"[8, 18]",111.2881379,35106,1390,2,0,9,1.3345945780156503
undo,0,13,1,0,0,4,"[0, 24, 23, 16, 3, 20, 4]",7,5,"[6, 8, 18, 25, 27]",133.3108534,35222,116,2,4,9,1.2859964130018764
undo,0,13,1,0,0,20,"[0, 24, 23, 16, 3, 20]",6,15,"[4, 6, 7, 8, 9, 11, 14, 18, 21, 22, 25, 26, 27, 28, 29]",155.3335689,35371,149,7,15,9,1.3149320474556456
undo,0,13,1,0,0,3,"[0, 24, 23, 16, 3]",5,20,"[2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 20, 21, 22, 25, 26, 27, 28, 29]",174.3598665,35539,168,3,44,10,1.233783650807853
undo,0,13,1,0,0,16,"[0, 24, 23, 16]",4,25,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29]",202.8027918,35755,216,1,145,11,1.055930143104189
undo,0,13,1,0,0,23,"[0, 24, 23]",3,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29]",243.1140806,36090,335,2,868,11,1.0065545717039834
undo,0,13,1,0,0,24,"[0, 24]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",288.8196601,36471,381,16,1444,11,1.0
undo,0,13,1,0,0,0,[0],1,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,36973,502,60,2676,11,0.0
undo,0,13,0,0,0,24,"[0, 24]",2,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",288.8196601,39150,2177,16,1444,11,1.0
undo,0,13,0,0,0,28,"[0, 24, 28]",3,23,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 29]",222.5324064,41515,2365,8,243,11,1.0513810491680837
undo,0,13,0,0,0,2,"[0, 24, 28, 2]",4,19,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27, 29]",184.889346,42513,998,7,110,11,1.050374132001543
undo,0,13,0,0,0,29,"[0, 24, 28, 2, 29]",5,18,"[1, 3, 4, 6, 7, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27]",173.1846461,43433,920,7,85,11,1.1393409619120594
undo,0,13,0,0,0,7,"[0, 24, 28, 2, 29, 7]",6,17,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 26, 27]",157.9203086,44234,801,5,45,11,1.349777315111579
undo,0,13,0,0,0,26,"[0, 24, 28, 2, 29, 7, 26]",7,16,"[1, 3, 4, 6, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 27]",147.480002,45019,785,5,25,11,1.5942082773824946
undo,0,13,0,0,0,6,"[0, 24, 28, 2, 29, 7, 26, 6]",8,12,"[1, 3, 4, 11, 13, 15, 16, 17, 19, 20, 23, 27]",127.3802508,45983,964,4,12,11,1.5898347940840756
undo,0,13,0,0,0,11,"[0, 24, 28, 2, 29, 7, 26, 6, 11]",9,6,"[1, 13, 15, 16, 17, 23]",108.2752776,47011,1028,3,4,11,1.5029953945561012
undo,0,13,0,0,0,13,"[0, 24, 28, 2, 29, 7, 26, 6, 11, 13]",10,2,"[15, 17]",52.19497806,49270,2259,2,0,11,1.3655915863754327
undo,0,13,0,0,1,15,"[0, 24, 28, 2, 29, 7, 26, 6, 11, 13, 15]",11,0,[],12.38291958,51172,1902,1,0,11,1.3653085520078876
undo,0,13,0,1,1,15,"[0, 24, 28, 2, 29, 7, 26, 6, 11, 13, 15]",11,0,[],12.38291958,58392,7220,1,0,11,1.3653085520078876
undo,1,9,0,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,143,-1,2,182,10,0.0
undo,1,9,0,0,0,23,"[0, 23]",2,26,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",240.4600974,13383,13240,7,160,9,1.0
undo,1,9,0,0,0,9,"[0, 23, 9]",3,25,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",218.0994176,14366,983,2,63,9,1.0998569787716874
undo,1,9,0,0,0,19,"[0, 23, 9, 19]",4,10,"[1, 3, 5, 13, 14, 15, 18, 24, 26, 28]",122.0733795,15254,888,3,15,8,1.0452176285538766
undo,1,9,0,0,0,1,"[0, 23, 9, 19, 1]",5,3,"[5, 13, 24]",47.54821597,16319,1065,3,1,7,1.0314555873479818
undo,1,9,0,0,0,13,"[0, 23, 9, 19, 1, 13]",6,2,"[5, 24]",28.33884326,17669,1350,2,0,7,1.1666155616652383
undo,1,9,0,0,1,5,"[0, 23, 9, 19, 1, 13, 5]",7,0,[],13.07450573,18630,961,1,0,7,1.288749294091516
undo,1,9,1,0,0,13,"[0, 23, 9, 19, 1, 13]",6,2,"[5, 24]",28.33884326,20290,1660,2,0,7,1.1666155616652383
undo,1,9,1,0,0,1,"[0, 23, 9, 19, 1]",5,3,"[5, 13, 24]",47.54821597,20441,151,3,1,7,1.0314555873479818
undo,1,9,1,0,0,19,"[0, 23, 9, 19]",4,10,"[1, 3, 5, 13, 14, 15, 18, 24, 26, 28]",122.0733795,20576,135,3,15,8,1.0452176285538766
undo,1,9,1,0,0,9,"[0, 23, 9]",3,25,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",218.0994176,20708,132,2,63,9,1.0998569787716874
undo,1,9,1,0,0,23,"[0, 23]",2,26,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",240.4600974,20958,250,7,160,9,1.0
undo,1,9,1,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,21909,951,2,182,10,0.0
undo,1,9,0,0,0,25,"[0, 25]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28]",275.9168108,25369,3460,2,104,10,1.0
undo,1,9,0,0,0,10,"[0, 25, 10]",3,20,"[3, 4, 5, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",236.0670932,26350,981,2,76,10,1.1767014107208227
undo,1,9,0,0,0,8,"[0, 25, 10, 8]",4,19,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",187.6935467,27704,1354,1,29,10,1.7608170712242983
undo,1,9,0,0,0,28,"[0, 25, 10, 8, 28]",5,18,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27]",176.8768928,29086,1382,1,15,10,1.6576318206889098
undo,1,9,0,0,0,23,"[0, 25, 10, 8, 28, 23]",6,12,"[3, 4, 7, 9, 11, 18, 19, 20, 21, 22, 26, 27]",151.8569008,30012,926,1,7,10,2.488131366775142
undo,1,9,0,0,0,9,"[0, 25, 10, 8, 28, 23, 9]",7,10,"[3, 4, 7, 11, 18, 19, 20, 21, 26, 27]",129.4962211,31070,1058,1,5,10,2.289724512754012
undo,1,9,0,0,0,26,"[0, 25, 10, 8, 28, 23, 9, 26]",8,3,"[18, 20, 21]",72.8481849,33383,2313,1,2,10,1.944382504121744
undo,1,9,0,0,0,21,"[0, 25, 10, 8, 28, 23, 9, 26, 21]",9,1,[20],18.94085701,34617,1234,1,0,10,2.3711528775176802
undo,1,9,0,0,1,20,"[0, 25, 10, 8, 28, 23, 9, 26, 21, 20]",10,0,[],6.85781104,37171,2554,1,0,10,2.3146010432238726
undo,1,9,1,0,0,21,"[0, 25, 10, 8, 28, 23, 9, 26, 21]",9,1,[20],18.94085701,40294,3123,1,0,10,2.3711528775176802
undo,1,9,1,0,0,26,"[0, 25, 10, 8, 28, 23, 9, 26]",8,3,"[18, 20, 21]",72.8481849,40460,166,1,2,10,1.944382504121744
undo,1,9,1,0,0,9,"[0, 25, 10, 8, 28, 23, 9]",7,10,"[3, 4, 7, 11, 18, 19, 20, 21, 26, 27]",129.4962211,40592,132,1,5,10,2.289724512754012
undo,1,9,1,0,0,23,"[0, 25, 10, 8, 28, 23]",6,12,"[3, 4, 7, 9, 11, 18, 19, 20, 21, 22, 26, 27]",151.8569008,40727,135,1,7,10,2.488131366775142
undo,1,9,1,0,0,28,"[0, 25, 10, 8, 28]",5,18,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27]",176.8768928,40944,217,1,15,10,1.6576318206889098
undo,1,9,1,0,0,8,"[0, 25, 10, 8]",4,19,"[3, 4, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",187.6935467,41277,333,1,29,10,1.7608170712242983
undo,1,9,1,0,0,10,"[0, 25, 10]",3,20,"[3, 4, 5, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]",236.0670932,41460,183,2,76,10,1.1767014107208227
undo,1,9,1,0,0,25,"[0, 25]",2,24,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28]",275.9168108,41909,449,2,104,10,1.0
undo,1,9,1,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,42293,384,2,182,10,0.0
undo,1,9,0,0,0,7,"[0, 7]",2,19,"[3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",258.4067313,44747,2454,39,322,9,1.0
undo,1,9,0,0,0,4,"[0, 7, 4]",3,15,"[3, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",243.4067313,45689,942,32,159,9,1.002790151820037
undo,1,9,0,0,0,27,"[0, 7, 4, 27]",4,11,"[8, 9, 10, 11, 20, 21, 22, 23, 25, 26, 28]",181.165266,46802,1113,19,48,9,2.2170504989781823
undo,1,9,0,0,0,25,"[0, 7, 4, 27, 25]",5,10,"[8, 9, 10, 11, 20, 21, 22, 23, 26, 28]",145.2626199,47659,857,17,30,9,6.425119990857526
undo,1,9,0,0,0,10,"[0, 7, 4, 27, 25, 10]",6,8,"[8, 9, 20, 21, 22, 23, 26, 28]",105.4129022,48467,808,10,7,9,3.581425027421569
undo,1,9,0,0,0,28,"[0, 7, 4, 27, 25, 10, 28]",7,4,"[8, 9, 23, 26]",48.4129022,49988,1521,3,2,9,3.387169057637727
undo,1,9,0,0,0,8,"[0, 7, 4, 27, 25, 10, 28, 8]",8,1,[23],37.59624838,51438,1450,1,0,9,4.114144751518002
undo,1,9,0,0,1,23,"[0, 7, 4, 27, 25, 10, 28, 8, 23]",9,0,[],16.12533782,52707,1269,1,0,9,4.767805284329809
undo,1,9,1,0,0,8,"[0, 7, 4, 27, 25, 10, 28, 8]",8,1,[23],37.59624838,55677,2970,1,0,9,4.114144751518002
undo,1,9,1,0,0,28,"[0, 7, 4, 27, 25, 10, 28]",7,4,"[8, 9, 23, 26]",48.4129022,55793,116,3,2,9,3.387169057637727
undo,1,9,1,0,0,10,"[0, 7, 4, 27, 25, 10]",6,8,"[8, 9, 20, 21, 22, 23, 26, 28]",105.4129022,55927,134,10,7,9,3.581425027421569
undo,1,9,1,0,0,25,"[0, 7, 4, 27, 25]",5,10,"[8, 9, 10, 11, 20, 21, 22, 23, 26, 28]",145.2626199,56344,417,17,30,9,6.425119990857526
undo,1,9,1,0,0,27,"[0, 7, 4, 27]",4,11,"[8, 9, 10, 11, 20, 21, 22, 23, 25, 26, 28]",181.165266,56511,167,19,48,9,2.2170504989781823
undo,1,9,1,0,0,4,"[0, 7, 4]",3,15,"[3, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",243.4067313,56827,316,32,159,9,1.002790151820037
undo,1,9,1,0,0,7,"[0, 7]",2,19,"[3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",258.4067313,57127,300,39,322,9,1.0
undo,1,9,1,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,57577,450,2,182,10,0.0
undo,1,9,0,0,0,7,"[0, 7]",2,19,"[3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",258.4067313,60103,2526,39,322,9,1.0
undo,1,9,0,0,0,4,"[0, 7, 4]",3,15,"[3, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",243.4067313,63020,2917,32,159,9,1.002790151820037
undo,1,9,0,0,0,27,"[0, 7, 4, 27]",4,11,"[8, 9, 10, 11, 20, 21, 22, 23, 25, 26, 28]",181.165266,64723,1703,19,48,9,2.2170504989781823
undo,1,9,0,0,0,25,"[0, 7, 4, 27, 25]",5,10,"[8, 9, 10, 11, 20, 21, 22, 23, 26, 28]",145.2626199,66805,2082,17,30,9,6.425119990857526
undo,1,9,0,0,0,8,"[0, 7, 4, 27, 25, 8]",6,7,"[9, 10, 20, 21, 23, 26, 28]",77.26261989,67938,1133,3,7,9,3.4922283606427764
undo,1,9,0,0,0,28,"[0, 7, 4, 27, 25, 8, 28]",7,6,"[9, 10, 20, 21, 23, 26]",66.44596607,68839,901,3,3,9,3.1443861944106732
undo,1,9,0,0,0,23,"[0, 7, 4, 27, 25, 8, 28, 23]",8,1,[9],41.42597406,69824,985,1,0,9,4.342869482607957
undo,1,9,0,0,1,9,"[0, 7, 4, 27, 25, 8, 28, 23, 9]",9,0,[],19.06529429,70734,910,1,0,9,3.7727203836625436
undo,1,9,1,0,0,23,"[0, 7, 4, 27, 25, 8, 28, 23]",8,1,[9],41.42597406,71930,1196,1,0,9,4.342869482607957
undo,1,9,1,0,0,28,"[0, 7, 4, 27, 25, 8, 28]",7,6,"[9, 10, 20, 21, 23, 26]",66.44596607,72079,149,3,3,9,3.1443861944106732
undo,1,9,1,0,0,8,"[0, 7, 4, 27, 25, 8]",6,7,"[9, 10, 20, 21, 23, 26, 28]",77.26261989,72194,115,3,7,9,3.4922283606427764
undo,1,9,1,0,0,25,"[0, 7, 4, 27, 25]",5,10,"[8, 9, 10, 11, 20, 21, 22, 23, 26, 28]",145.2626199,72328,134,17,30,9,6.425119990857526
undo,1,9,1,0,0,27,"[0, 7, 4, 27]",4,11,"[8, 9, 10, 11, 20, 21, 22, 23, 25, 26, 28]",181.165266,72479,151,19,48,9,2.2170504989781823
undo,1,9,1,0,0,4,"[0, 7, 4]",3,15,"[3, 8, 9, 10, 11, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",243.4067313,72629,150,32,159,9,1.002790151820037
undo,1,9,1,0,0,7,"[0, 7]",2,19,"[3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",258.4067313,72895,266,39,322,9,1.0
undo,1,9,1,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,73413,518,2,182,10,0.0
undo,1,9,0,0,0,9,"[0, 9]",2,26,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",225.5352432,76222,2809,2,101,9,1.0
undo,1,9,0,0,0,23,"[0, 9, 23]",3,22,"[1, 3, 4, 5, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",203.1745635,77204,982,2,70,9,1.6262276606762436
undo,1,9,0,0,0,8,"[0, 9, 23, 8]",4,18,"[3, 4, 5, 7, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",181.7036529,78775,1571,1,36,9,1.8547307061753238
undo,1,9,0,0,0,28,"[0, 9, 23, 8, 28]",5,17,"[3, 4, 5, 7, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27]",170.8869991,79529,754,1,23,9,1.7382749966569708
undo,1,9,0,0,0,26,"[0, 9, 23, 8, 28, 26]",6,10,"[3, 5, 10, 15, 16, 18, 19, 20, 21, 25]",126.1097727,80606,1077,4,7,8,1.4884719959249546
undo,1,9,0,0,0,18,"[0, 9, 23, 8, 28, 26, 18]",7,2,"[5, 19]",65.23284771,81610,1004,2,0,8,1.3471468379657168
undo,1,9,0,0,1,5,"[0, 9, 23, 8, 28, 26, 18, 5]",8,0,[],1.342316325,84257,2647,1,0,8,1.3414453811098892
undo,1,9,1,0,0,18,"[0, 9, 23, 8, 28, 26, 18]",7,2,"[5, 19]",65.23284771,85762,1505,2,0,8,1.3471468379657168
undo,1,9,1,0,0,26,"[0, 9, 23, 8, 28, 26]",6,10,"[3, 5, 10, 15, 16, 18, 19, 20, 21, 25]",126.1097727,85912,150,4,7,8,1.4884719959249546
undo,1,9,1,0,0,28,"[0, 9, 23, 8, 28]",5,17,"[3, 4, 5, 7, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27]",170.8869991,86063,151,1,23,9,1.7382749966569708
undo,1,9,1,0,0,8,"[0, 9, 23, 8]",4,18,"[3, 4, 5, 7, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28]",181.7036529,86267,204,1,36,9,1.8547307061753238
undo,1,9,1,0,0,23,"[0, 9, 23]",3,22,"[1, 3, 4, 5, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",203.1745635,86663,396,2,70,9,1.6262276606762436
undo,1,9,1,0,0,9,"[0, 9]",2,26,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",225.5352432,87013,350,2,101,9,1.0
undo,1,9,1,0,0,0,[0],1,27,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",300,87396,383,2,182,10,0.0
undo,1,9,0,0,0,23,"[0, 23]",2,26,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",240.4600974,89772,2376,7,160,9,1.0
undo,1,9,0,0,0,8,"[0, 23, 8]",3,23,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",218.9891869,90574,802,3,53,9,1.2701427074648883
undo,1,9,0,0,0,28,"[0, 23, 8, 28]",4,22,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]",208.172533,91444,870,3,39,9,1.2362921532284137
undo,1,9,0,0,0,26,"[0, 23, 8, 28, 26]",5,19,"[1, 3, 5, 6, 7, 9, 10, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27]",163.3953067,92523,1079,2,15,9,1.169313903639755
undo,1,9,0,0,0,18,"[0, 23, 8, 28, 26, 18]",6,8,"[1, 5, 13, 15, 16, 19, 21, 24]",102.5183817,93509,986,2,5,9,1.1331940395161044
undo,1,9,0,0,0,5,"[0, 23, 8, 28, 26, 18, 5]",7,3,"[1, 13, 24]",38.62785028,94675,1166,2,2,9,1.1739743598031722
undo,1,9,0,0,0,13,"[0, 23, 8, 28, 26, 18, 5, 13]",8,2,"[1, 24]",23.36351276,95643,968,2,0,9,1.187981509065966
undo,1,9,0,0,1,1,"[0, 23, 8, 28, 26, 18, 5, 13, 1]",9,0,[],4.154140044,97191,1548,1,0,9,1.2087530552333994
undo,1,9,1,0,0,13,"[0, 23, 8, 28, 26, 18, 5, 13]",8,2,"[1, 24]",23.36351276,100115,2924,2,0,9,1.187981509065966
undo,1,9,1,0,0,5,"[0, 23, 8, 28, 26, 18, 5]",7,3,"[1, 13, 24]",38.62785028,100516,401,2,2,9,1.1739743598031722
undo,1,9,1,0,0,18,"[0, 23, 8, 28, 26, 18]",6,8,"[1, 5, 13, 15, 16, 19, 21, 24]",102.5183817,100766,250,2,5,9,1.1331940395161044
